"Air Qualityall Good","Beverage","Cloth 1","Cloth 2","Cloth 3","Cloth 4","Cloth 5","Cloth 6","Cloth 7","Duration Of Location","Eat Recent","Humid","Location","Mode Of Transport","Mood","Smelly","Stuffy","Suffocating","Thermal Comfort","Thermal Preference","Timestamp","User Name"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","NO","NO",5,1,"2022/12/12 2022-12-12 13:29:53.110","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","NO","NO",5,1,"2022/12/12 2022-12-12 13:32:30.465","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","NO","NO",5,1,"2022/12/12 2022-12-12 13:36:03.070","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","NO","NO",4,2,"2022/12/12 2022-12-12 13:40:53.068","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA001",4,4,"NO","NO","NO",4,2,"2022/12/12 2022-12-12 13:51:18.341","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA001",4,4,"NO","NO","NO",4,2,"2022/12/12 2022-12-12 13:55:59.673","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","NO","NO",5,2,"2022/12/12 2022-12-12 14:01:36.547","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","NO","NO",4,2,"2022/12/12 2022-12-12 14:18:11.156","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","NO","NO",5,2,"2022/12/12 2022-12-12 14:23:43.721","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","NO","NO",4,2,"2022/12/12 2022-12-12 14:24:21.843","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","NO","NO",3,2,"2022/12/12 2022-12-12 14:35:10.569","Noah@email.com"
"NO",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LA223",4,4,"NO","YES","NO",4,2,"2022/12/12 2022-12-12 14:44:36.518","Noah@email.com"
"YES",2,"NO","NO","YES","NO","NO","NO","YES","less than an hour","30 mins ago","NO","LD328",4,3,"NO","NO","NO",3,2,"2022/12/15 2022-12-15 11:33:33.492","Noah@email.com"
